Index,CASRN,Chemical.Name,Source,Toxicity.Value,Organ,Reference,Effect,Dose.Converted,X.Doses,Dose,Dose.Unit1,Dose.Unit2,Final.Dose,N.Animal,Obs.Animal,Species,Strain,Sex,Effect.Sex,Route,No.Days,Duration,Duration.type
71,87296,Cinnamyl Anthranilate,CalEPA,0.0046,liver,"National Cancer Institute (NCI, 1979). Bioassay of Cinnamyl Anthranilate for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 196. NTIS No. PB 295835. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",benign and malignant liver tumors,Dose,3,0,ppm,ppm,0,50,3,Mouse,B6C3F1,M/F,F,Oral diet,NA,103,Weeks
71,87296,Cinnamyl Anthranilate,CalEPA,0.0046,liver,"National Cancer Institute (NCI, 1979). Bioassay of Cinnamyl Anthranilate for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 196. NTIS No. PB 295835. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",benign and malignant liver tumors,Dose,3,15000,ppm,ppm,2592.067989,49,20,Mouse,B6C3F1,M/F,F,Oral diet,NA,103,Weeks
71,87296,Cinnamyl Anthranilate,CalEPA,0.0046,liver,"National Cancer Institute (NCI, 1979). Bioassay of Cinnamyl Anthranilate for Possible Carcinogenicity. Carcinogenesis Technical Report Series No. 196. NTIS No. PB 295835. US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",benign and malignant liver tumors,Dose,3,30000,ppm,ppm,5184.135977,49,33,Mouse,B6C3F1,M/F,F,Oral diet,NA,103,Weeks
72,87627,"2,6-Xylidine",CalEPA,0.0063,nasal passages,"NTP (1990). Toxicology and carcinogenesis studies of 2,6-xylidine in Charles River CD rats. National Toxicology Program. Technical Report Series No. 278. NIH Publication No. 90-2534. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health, 1990.",nasal cavity tumors (adenomas/carcinomas),Conv,4,0,mg/kg/day,ppm,0,55,0,Rat,CD,M/F,F,Oral diet,NA,102,Weeks
72,87627,"2,6-Xylidine",CalEPA,0.0063,nasal passages,"NTP (1990). Toxicology and carcinogenesis studies of 2,6-xylidine in Charles River CD rats. National Toxicology Program. Technical Report Series No. 278. NIH Publication No. 90-2534. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health, 1990.",nasal cavity tumors (adenomas/carcinomas),Conv,4,13.3,mg/kg/day,ppm,13.3,55,0,Rat,CD,M/F,F,Oral diet,NA,102,Weeks
72,87627,"2,6-Xylidine",CalEPA,0.0063,nasal passages,"NTP (1990). Toxicology and carcinogenesis studies of 2,6-xylidine in Charles River CD rats. National Toxicology Program. Technical Report Series No. 278. NIH Publication No. 90-2534. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health, 1990.",nasal cavity tumors (adenomas/carcinomas),Conv,4,44.2,mg/kg/day,ppm,44.2,56,2,Rat,CD,M/F,F,Oral diet,NA,102,Weeks
72,87627,"2,6-Xylidine",CalEPA,0.0063,nasal passages,"NTP (1990). Toxicology and carcinogenesis studies of 2,6-xylidine in Charles River CD rats. National Toxicology Program. Technical Report Series No. 278. NIH Publication No. 90-2534. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health, 1990.",nasal cavity tumors (adenomas/carcinomas),Conv,4,132,mg/kg/day,ppm,132,56,32,Rat,CD,M/F,F,Oral diet,NA,102,Weeks
73,87683,Hexachlorobutadiene,IRIS,0.078,kidneys,"Kociba, R.J., D.G. Keyes, G.C. Jersey, et al. 1977. Results of a two-year chronic toxicity study with hexachlorobutadiene in rats. Am. Ind. Hyg. Assoc. J. 38: 589-602.",renal tubular adenomas and adenocarcinomas,HEq,4,0,mg/kg/day,mg/kg/day,0,90,1,Rat,Sprague-Dawley,M/F,M,Oral diet,NA,22-24,Months
73,87683,Hexachlorobutadiene,IRIS,0.078,kidneys,"Kociba, R.J., D.G. Keyes, G.C. Jersey, et al. 1977. Results of a two-year chronic toxicity study with hexachlorobutadiene in rats. Am. Ind. Hyg. Assoc. J. 38: 589-602.",renal tubular adenomas and adenocarcinomas,HEq,4,0.04,mg/kg/day,mg/kg/day,0.04,40,0,Rat,Sprague-Dawley,M/F,M,Oral diet,NA,22-24,Months
73,87683,Hexachlorobutadiene,IRIS,0.078,kidneys,"Kociba, R.J., D.G. Keyes, G.C. Jersey, et al. 1977. Results of a two-year chronic toxicity study with hexachlorobutadiene in rats. Am. Ind. Hyg. Assoc. J. 38: 589-602.",renal tubular adenomas and adenocarcinomas,HEq,4,0.4,mg/kg/day,mg/kg/day,0.4,40,0,Rat,Sprague-Dawley,M/F,M,Oral diet,NA,22-24,Months
73,87683,Hexachlorobutadiene,IRIS,0.078,kidneys,"Kociba, R.J., D.G. Keyes, G.C. Jersey, et al. 1977. Results of a two-year chronic toxicity study with hexachlorobutadiene in rats. Am. Ind. Hyg. Assoc. J. 38: 589-602.",renal tubular adenomas and adenocarcinomas,HEq,4,4,mg/kg/day,mg/kg/day,4,39,9,Rat,Sprague-Dawley,M/F,M,Oral diet,NA,22-24,Months
74,87843,"Pentabromo-6-Chlorocyclohexane, 1,2,3,4,5-",HEAST,0.023,gastrointestinal,"Blair E.H. 1981. TSCA Sec 8(e) submission 8EHQ-0381-0393, 88-8100295 by Dow Chemical Co. Office of Toxic Substances, U.S. EPA, Washington, DC.","large instestine, polypoid adenoma",Dose,4,0,mg/kg/day,mg/kg/day,0,86,1,Rat,Fischer 344,M/F,F,Oral diet,NA,2,Years
74,87843,"Pentabromo-6-Chlorocyclohexane, 1,2,3,4,5-",HEAST,0.023,gastrointestinal,"Blair E.H. 1981. TSCA Sec 8(e) submission 8EHQ-0381-0393, 88-8100295 by Dow Chemical Co. Office of Toxic Substances, U.S. EPA, Washington, DC.","large instestine, polypoid adenoma",Dose,4,1,mg/kg/day,mg/kg/day,1,50,0,Rat,Fischer 344,M/F,F,Oral diet,NA,2,Years
74,87843,"Pentabromo-6-Chlorocyclohexane, 1,2,3,4,5-",HEAST,0.023,gastrointestinal,"Blair E.H. 1981. TSCA Sec 8(e) submission 8EHQ-0381-0393, 88-8100295 by Dow Chemical Co. Office of Toxic Substances, U.S. EPA, Washington, DC.","large instestine, polypoid adenoma",Dose,4,20,mg/kg/day,mg/kg/day,20,50,3,Rat,Fischer 344,M/F,F,Oral diet,NA,2,Years
74,87843,"Pentabromo-6-Chlorocyclohexane, 1,2,3,4,5-",HEAST,0.023,gastrointestinal,"Blair E.H. 1981. TSCA Sec 8(e) submission 8EHQ-0381-0393, 88-8100295 by Dow Chemical Co. Office of Toxic Substances, U.S. EPA, Washington, DC.","large instestine, polypoid adenoma",Dose,4,70,mg/kg/day,mg/kg/day,70,50,8,Rat,Fischer 344,M/F,F,Oral diet,NA,2,Years
75,87865,Pentachlorophenol,CalEPA,0.018,adrenal glands,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",Adrenal gland/medullary tumor incidence (benign and malignant pheochromocytomas),Conv,4,0,mg/kg-day diet,ppm diet,0,34,1,Mouse,B6C3F1,M/F,M,Oral diet,NA,2,Years
75,87865,Pentachlorophenol,CalEPA,0.018,adrenal glands,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",Adrenal gland/medullary tumor incidence (benign and malignant pheochromocytomas),Conv,4,18,mg/kg-day diet,ppm diet,18,48,4,Mouse,B6C3F1,M/F,M,Oral diet,NA,2,Years
75,87865,Pentachlorophenol,CalEPA,0.018,adrenal glands,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",Adrenal gland/medullary tumor incidence (benign and malignant pheochromocytomas),Conv,4,37,mg/kg-day diet,ppm diet,37,48,21,Mouse,B6C3F1,M/F,M,Oral diet,NA,2,Years
75,87865,Pentachlorophenol,CalEPA,0.018,adrenal glands,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",Adrenal gland/medullary tumor incidence (benign and malignant pheochromocytomas),Conv,4,118,mg/kg-day diet,ppm diet,118,49,45,Mouse,B6C3F1,M/F,M,Oral diet,NA,2,Years
76,87865,Pentachlorophenol,CalEPA,0.018,adrenal glands,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",Adrenal gland/medullary tumor incidence (benign and malignant pheochromocytomas),Conv,4,0,mg/kg-day diet,ppm diet,0,35,0,Mouse,B6C3F1,M/F,F,Oral diet,NA,2,Years
76,87865,Pentachlorophenol,CalEPA,0.018,adrenal glands,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",Adrenal gland/medullary tumor incidence (benign and malignant pheochromocytomas),Conv,4,17,mg/kg-day diet,ppm diet,17,49,2,Mouse,B6C3F1,M/F,F,Oral diet,NA,2,Years
76,87865,Pentachlorophenol,CalEPA,0.018,adrenal glands,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",Adrenal gland/medullary tumor incidence (benign and malignant pheochromocytomas),Conv,4,34,mg/kg-day diet,ppm diet,34,46,2,Mouse,B6C3F1,M/F,F,Oral diet,NA,2,Years
76,87865,Pentachlorophenol,CalEPA,0.018,adrenal glands,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",Adrenal gland/medullary tumor incidence (benign and malignant pheochromocytomas),Conv,4,114,mg/kg-day diet,ppm diet,114,49,38,Mouse,B6C3F1,M/F,F,Oral diet,NA,2,Years
77,87865,Pentachlorophenol,CalEPA,0.018,liver,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",hepatocellular adenomas and carcinomas,Conv,4,0,mg/kg-day,ppm diet,0,34,1,Mouse,B6C3F1,M/F,F,Oral diet,NA,2,Years
77,87865,Pentachlorophenol,CalEPA,0.018,liver,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",hepatocellular adenomas and carcinomas,Conv,4,17,mg/kg-day,ppm diet,17,50,4,Mouse,B6C3F1,M/F,F,Oral diet,NA,2,Years
77,87865,Pentachlorophenol,CalEPA,0.018,liver,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",hepatocellular adenomas and carcinomas,Conv,4,34,mg/kg-day,ppm diet,34,49,6,Mouse,B6C3F1,M/F,F,Oral diet,NA,2,Years
77,87865,Pentachlorophenol,CalEPA,0.018,liver,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",hepatocellular adenomas and carcinomas,Conv,4,114,mg/kg-day,ppm diet,114,48,31,Mouse,B6C3F1,M/F,F,Oral diet,NA,2,Years
78,87865,Pentachlorophenol,CalEPA,0.018,liver,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",hemangiosarcomas,Conv,4,0,mg/kg-day diet,ppm diet,0,35,0,Mouse,B6C3F1,M/F,F,Oral diet,NA,2,Years
78,87865,Pentachlorophenol,CalEPA,0.018,liver,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",hemangiosarcomas,Conv,4,17,mg/kg-day diet,ppm diet,17,50,1,Mouse,B6C3F1,M/F,F,Oral diet,NA,2,Years
78,87865,Pentachlorophenol,CalEPA,0.018,liver,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",hemangiosarcomas,Conv,4,34,mg/kg-day diet,ppm diet,34,50,3,Mouse,B6C3F1,M/F,F,Oral diet,NA,2,Years
78,87865,Pentachlorophenol,CalEPA,0.018,liver,"National Toxicology Program (NTP) 1989. Toxicology and Carcinogenesis Studies of Two Pentachlorophenol Technical-Grade Mixtures in B6C3F1 Mice. U.S. Department of Health and Human Services, Public Health Service, National Institutes of Health.",hemangiosarcomas,Conv,4,114,mg/kg-day diet,ppm diet,114,49,8,Mouse,B6C3F1,M/F,F,Oral diet,NA,2,Years
79,87865,Pentachlorophenol,IRIS,0.4,adrenal glands,"NTP (National Toxicology Program). (1989) NTP toxicology and carcinogenesis studies of two pentachlorophenol technical-grade mixtures (CAS No. 87-86-5) in B6C3F1 mice (feed studies).  Public Health Service, U.S. Department of Health and Human Services; NTP TR 349. Available from the National Institute of Environmental Health Sciences, Research Triangle Park, NC.",Adrenal benign or malignant pheochromocytomas,Conv,3,0,mg/kg/day,ppm,0,31,0,Mouse,B6C3F1,M/F,M,Oral diet,NA,2,Years
79,87865,Pentachlorophenol,IRIS,0.4,adrenal glands,"NTP (National Toxicology Program). (1989) NTP toxicology and carcinogenesis studies of two pentachlorophenol technical-grade mixtures (CAS No. 87-86-5) in B6C3F1 mice (feed studies).  Public Health Service, U.S. Department of Health and Human Services; NTP TR 349. Available from the National Institute of Environmental Health Sciences, Research Triangle Park, NC.",Adrenal benign or malignant pheochromocytomas,Conv,3,18,mg/kg/day,ppm,18,45,10,Mouse,B6C3F1,M/F,M,Oral diet,NA,2,Years
79,87865,Pentachlorophenol,IRIS,0.4,adrenal glands,"NTP (National Toxicology Program). (1989) NTP toxicology and carcinogenesis studies of two pentachlorophenol technical-grade mixtures (CAS No. 87-86-5) in B6C3F1 mice (feed studies).  Public Health Service, U.S. Department of Health and Human Services; NTP TR 349. Available from the National Institute of Environmental Health Sciences, Research Triangle Park, NC.",Adrenal benign or malignant pheochromocytomas,Conv,3,35,mg/kg/day,ppm,35,45,23,Mouse,B6C3F1,M/F,M,Oral diet,NA,2,Years
80,87865,Pentachlorophenol,IRIS,0.4,liver,"NTP (National Toxicology Program). (1989) NTP toxicology and carcinogenesis studies of two pentachlorophenol technical-grade mixtures (CAS No. 87-86-5) in B6C3F1 mice (feed studies).  Public Health Service, U.S. Department of Health and Human Services; NTP TR 349. Available from the National Institute of Environmental Health Sciences, Research Triangle Park, NC.",Hepatocellular adenomas or carcinomas,Conv,3,0,mg/kg/day,ppm,0,32,7,Mouse,B6C3F1,M/F,M,Oral diet,NA,2,Years
80,87865,Pentachlorophenol,IRIS,0.4,liver,"NTP (National Toxicology Program). (1989) NTP toxicology and carcinogenesis studies of two pentachlorophenol technical-grade mixtures (CAS No. 87-86-5) in B6C3F1 mice (feed studies).  Public Health Service, U.S. Department of Health and Human Services; NTP TR 349. Available from the National Institute of Environmental Health Sciences, Research Triangle Park, NC.",Hepatocellular adenomas or carcinomas,Conv,3,18,mg/kg/day,ppm,18,47,26,Mouse,B6C3F1,M/F,M,Oral diet,NA,2,Years
80,87865,Pentachlorophenol,IRIS,0.4,liver,"NTP (National Toxicology Program). (1989) NTP toxicology and carcinogenesis studies of two pentachlorophenol technical-grade mixtures (CAS No. 87-86-5) in B6C3F1 mice (feed studies).  Public Health Service, U.S. Department of Health and Human Services; NTP TR 349. Available from the National Institute of Environmental Health Sciences, Research Triangle Park, NC.",Hepatocellular adenomas or carcinomas,Conv,3,35,mg/kg/day,ppm,35,48,37,Mouse,B6C3F1,M/F,M,Oral diet,NA,2,Years
81,88062,"2,4,6-Trichlorophenol",CalEPA,0.07,liver,"National Cancer Institute (NCI). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. National Cancer Institute, National Institutes of Health, Bethesda, MD.",hepatoma,Conv,3,0,mg/kg/day,ppm,0,20,4,Mouse,B6C3F1,M/F,M,Oral diet,NA,105,Weeks
81,88062,"2,4,6-Trichlorophenol",CalEPA,0.07,liver,"National Cancer Institute (NCI). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. National Cancer Institute, National Institutes of Health, Bethesda, MD.",hepatoma,Conv,3,678,mg/kg/day,ppm,678,49,32,Mouse,B6C3F1,M/F,M,Oral diet,NA,105,Weeks
81,88062,"2,4,6-Trichlorophenol",CalEPA,0.07,liver,"National Cancer Institute (NCI). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. National Cancer Institute, National Institutes of Health, Bethesda, MD.",hepatoma,Conv,3,1356,mg/kg/day,ppm,1356,47,39,Mouse,B6C3F1,M/F,M,Oral diet,NA,105,Weeks
82,88062,"2,4,6-Trichlorophenol",CalEPA,0.07,liver,"National Cancer Institute (NCI). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. National Cancer Institute, National Institutes of Health, Bethesda, MD.",hepatoma,Conv,3,0,mg/kg/day,ppm,0,20,1,Mouse,B6C3F1,M/F,F,Oral diet,NA,105,Weeks
82,88062,"2,4,6-Trichlorophenol",CalEPA,0.07,liver,"National Cancer Institute (NCI). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. National Cancer Institute, National Institutes of Health, Bethesda, MD.",hepatoma,Conv,3,600,mg/kg/day,ppm,600,50,12,Mouse,B6C3F1,M/F,F,Oral diet,NA,105,Weeks
82,88062,"2,4,6-Trichlorophenol",CalEPA,0.07,liver,"National Cancer Institute (NCI). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. National Cancer Institute, National Institutes of Health, Bethesda, MD.",hepatoma,Conv,3,1200,mg/kg/day,ppm,1200,48,24,Mouse,B6C3F1,M/F,F,Oral diet,NA,105,Weeks
83,88062,"2,4,6-Trichlorophenol",IRIS,0.011,blood,"NCI (National Cancer Institute). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. U.S. DHEW Publ. No. NCI-CG-TR-155.",leukemia,HEq,3,0,mg/kg/day,ppm,0,20,3,Rat,Fischer 344,M/F,M,Oral diet,NA,106-107,Weeks
83,88062,"2,4,6-Trichlorophenol",IRIS,0.011,blood,"NCI (National Cancer Institute). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. U.S. DHEW Publ. No. NCI-CG-TR-155.",leukemia,HEq,3,44.6,mg/kg/day,ppm,44.6,50,23,Rat,Fischer 344,M/F,M,Oral diet,NA,106-107,Weeks
83,88062,"2,4,6-Trichlorophenol",IRIS,0.011,blood,"NCI (National Cancer Institute). 1979. Bioassay of 2,4,6-Trichlorophenol for Possible Carcinogenicity. U.S. DHEW Publ. No. NCI-CG-TR-155.",leukemia,HEq,3,94.4,mg/kg/day,ppm,94.4,50,29,Rat,Fischer 344,M/F,M,Oral diet,NA,106-107,Weeks
84,88722,"Nitrotoluene, o-   ",PPRTV,0.22,skin,NTP (National Toxicology Program). 2002a. Toxicology and carcinogenesis studies of o-nitrotoluene (CAS No. 88-72-2) in F344/N rats and B6C3F1 mice (feed studies). NTP TR 504. NIH Publication No. 01-4438. Online. Http://ntp.niehs.nih.gov/ntp/htdocs/LT_rpts/tr504.pdf.,Skin Fibroma or Fibrosarcoma,Conv,6,0,mg/kg-day,ppm,0,60,5,Rat,Fischer 344,M/F,M,Oral diet,NA,24,Months
84,88722,"Nitrotoluene, o-   ",PPRTV,0.22,skin,NTP (National Toxicology Program). 2002a. Toxicology and carcinogenesis studies of o-nitrotoluene (CAS No. 88-72-2) in F344/N rats and B6C3F1 mice (feed studies). NTP TR 504. NIH Publication No. 01-4438. Online. Http://ntp.niehs.nih.gov/ntp/htdocs/LT_rpts/tr504.pdf.,Skin Fibroma or Fibrosarcoma,Conv,6,25,mg/kg-day,ppm,25,60,47,Rat,Fischer 344,M/F,M,Oral diet,NA,24,Months
84,88722,"Nitrotoluene, o-   ",PPRTV,0.22,skin,NTP (National Toxicology Program). 2002a. Toxicology and carcinogenesis studies of o-nitrotoluene (CAS No. 88-72-2) in F344/N rats and B6C3F1 mice (feed studies). NTP TR 504. NIH Publication No. 01-4438. Online. Http://ntp.niehs.nih.gov/ntp/htdocs/LT_rpts/tr504.pdf.,Skin Fibroma or Fibrosarcoma,Conv,6,50,mg/kg-day,ppm,50,60,55,Rat,Fischer 344,M/F,M,Oral diet,NA,24,Months
84,88722,"Nitrotoluene, o-   ",PPRTV,0.22,skin,NTP (National Toxicology Program). 2002a. Toxicology and carcinogenesis studies of o-nitrotoluene (CAS No. 88-72-2) in F344/N rats and B6C3F1 mice (feed studies). NTP TR 504. NIH Publication No. 01-4438. Online. Http://ntp.niehs.nih.gov/ntp/htdocs/LT_rpts/tr504.pdf.,Skin Fibroma or Fibrosarcoma,Conv,6,90,mg/kg-day,ppm,90,60,59,Rat,Fischer 344,M/F,M,Oral diet,NA,24,Months
84,88722,"Nitrotoluene, o-   ",PPRTV,0.22,skin,NTP (National Toxicology Program). 2002a. Toxicology and carcinogenesis studies of o-nitrotoluene (CAS No. 88-72-2) in F344/N rats and B6C3F1 mice (feed studies). NTP TR 504. NIH Publication No. 01-4438. Online. Http://ntp.niehs.nih.gov/ntp/htdocs/LT_rpts/tr504.pdf.,Skin Fibroma or Fibrosarcoma,Conv,6,125,mg/kg-day,ppm,125,60,47,Rat,Fischer 344,M/F,M,Oral diet,NA,24,Months
84,88722,"Nitrotoluene, o-   ",PPRTV,0.22,skin,NTP (National Toxicology Program). 2002a. Toxicology and carcinogenesis studies of o-nitrotoluene (CAS No. 88-72-2) in F344/N rats and B6C3F1 mice (feed studies). NTP TR 504. NIH Publication No. 01-4438. Online. Http://ntp.niehs.nih.gov/ntp/htdocs/LT_rpts/tr504.pdf.,Skin Fibroma or Fibrosarcoma,Conv,6,315,mg/kg-day,ppm,315,60,53,Rat,Fischer 344,M/F,M,Oral diet,NA,24,Months
85,88733,"Chloronitrobenzene, o-   ",PPRTV,0.3,liver,"Matsumoto, M., Y. Umeda, H. Senoh et al. 2006b. Two-year feed study of carcinogenicity and chronic toxicity of ortho-chloronitrobenzene in rats and mice. J. Toxicol. Sci. 31(3):247-267. Online. http://www.jstage.jst.go.jp/article/jts/31/3/247/_pdf.",liver adenoma or carcinoma,Dose,4,0,mg/kg-d,mg/kg-d,0,50,8,Mouse,BDF1,M/F,F,Oral diet,NA,2,Years
85,88733,"Chloronitrobenzene, o-   ",PPRTV,0.3,liver,"Matsumoto, M., Y. Umeda, H. Senoh et al. 2006b. Two-year feed study of carcinogenicity and chronic toxicity of ortho-chloronitrobenzene in rats and mice. J. Toxicol. Sci. 31(3):247-267. Online. http://www.jstage.jst.go.jp/article/jts/31/3/247/_pdf.",liver adenoma or carcinoma,Dose,4,14,mg/kg-d,mg/kg-d,14,50,22,Mouse,BDF1,M/F,F,Oral diet,NA,2,Years
85,88733,"Chloronitrobenzene, o-   ",PPRTV,0.3,liver,"Matsumoto, M., Y. Umeda, H. Senoh et al. 2006b. Two-year feed study of carcinogenicity and chronic toxicity of ortho-chloronitrobenzene in rats and mice. J. Toxicol. Sci. 31(3):247-267. Online. http://www.jstage.jst.go.jp/article/jts/31/3/247/_pdf.",liver adenoma or carcinoma,Dose,4,69,mg/kg-d,mg/kg-d,69,50,48,Mouse,BDF1,M/F,F,Oral diet,NA,2,Years
85,88733,"Chloronitrobenzene, o-   ",PPRTV,0.3,liver,"Matsumoto, M., Y. Umeda, H. Senoh et al. 2006b. Two-year feed study of carcinogenicity and chronic toxicity of ortho-chloronitrobenzene in rats and mice. J. Toxicol. Sci. 31(3):247-267. Online. http://www.jstage.jst.go.jp/article/jts/31/3/247/_pdf.",liver adenoma or carcinoma,Dose,4,369,mg/kg-d,mg/kg-d,369,50,48,Mouse,BDF1,M/F,F,Oral diet,NA,2,Years
86,90040,o-Anisidine,CalEPA,0.14,bladder,"National Cancer Institute (NCI, 1978). Bioassay of ortho-Anisidine for Possible Carcinogenicity. Carcinogenesis Technical Report Series, Technical Report No. 89.
US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",Transitional-cell carcinomas or papillomas of the urinary bladder,Dose,3,0,ppm diet,ppm diet,0,51,0,Rat,Fischer 344,M/F,M,Oral diet,NA,103,Weeks
86,90040,o-Anisidine,CalEPA,0.14,bladder,"National Cancer Institute (NCI, 1978). Bioassay of ortho-Anisidine for Possible Carcinogenicity. Carcinogenesis Technical Report Series, Technical Report No. 89.
US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",Transitional-cell carcinomas or papillomas of the urinary bladder,Dose,3,5000,ppm diet,ppm diet,394.7368421,54,52,Rat,Fischer 344,M/F,M,Oral diet,NA,103,Weeks
86,90040,o-Anisidine,CalEPA,0.14,bladder,"National Cancer Institute (NCI, 1978). Bioassay of ortho-Anisidine for Possible Carcinogenicity. Carcinogenesis Technical Report Series, Technical Report No. 89.
US Department of Health, Education and Welfare, NCI Carcinogenesis Testing Program, Bethesda, MD.",Transitional-cell carcinomas or papillomas of the urinary bladder,Dose,3,10000,ppm diet,ppm diet,789.4736842,52,52,Rat,Fischer 344,M/F,M,Oral diet,NA,103,Weeks
87,90948,Michlers Ketone,CalEPA,0.86,liver,"National Cancer Institute (NCI, 1979). Bioassay of Michler's Ketone for Possible Carcinogenicity. Carcinogenesis echnica1 Report Series No. 181. NTIS Publication No. PB 299855. US Department f Health, Education and Welfare (DHEW), NCI Carcinogenesis Testing Program, Bethesda, MD.",liver tumors,Dose,3,0,ppm,ppm,0,20,0,Rat,Fischer 344,M/F,F,Oral diet,NA,109,Weeks
87,90948,Michlers Ketone,CalEPA,0.86,liver,"National Cancer Institute (NCI, 1979). Bioassay of Michler's Ketone for Possible Carcinogenicity. Carcinogenesis echnica1 Report Series No. 181. NTIS Publication No. PB 299855. US Department f Health, Education and Welfare (DHEW), NCI Carcinogenesis Testing Program, Bethesda, MD.",liver tumors,Dose,3,500,ppm,ppm,45.85152838,47,41,Rat,Fischer 344,M/F,F,Oral diet,NA,109,Weeks
87,90948,Michlers Ketone,CalEPA,0.86,liver,"National Cancer Institute (NCI, 1979). Bioassay of Michler's Ketone for Possible Carcinogenicity. Carcinogenesis echnica1 Report Series No. 181. NTIS Publication No. PB 299855. US Department f Health, Education and Welfare (DHEW), NCI Carcinogenesis Testing Program, Bethesda, MD.",liver tumors,Dose,3,1000,ppm,ppm,91.70305677,49,44,Rat,Fischer 344,M/F,F,Oral diet,NA,109,Weeks
